CD_CIN Number,BS_Long-Term Borrowings,BS_Year End
L99999GJ1987PLC009768,636726000,201703
L99999GJ1987PLC009768,708418000,201603
L99999GJ1987PLC009768,806676000,201503
L99999GJ1987PLC009768,577902000,201403
L99999GJ1987PLC009768,647186000,201303
L99999GJ1987PLC009768,514221000,201203
L99999GJ1987PLC009768,207000000,201103
L74210TN1986PLC012791,0,201703
L74210TN1986PLC012791,0,201603
L74210TN1986PLC012791,0,201503
L74210TN1986PLC012791,0,201403
L74210TN1986PLC012791,0,201303
L74210TN1986PLC012791,0,201203
L74210TN1986PLC012791,0,201103
L67120MH1993PLC074411,10295900000,201703
L67120MH1993PLC074411,9914100000,201603
L67120MH1993PLC074411,19957600000,201503
L67120MH1993PLC074411,20629300000,201403
L67120MH1993PLC074411,20011000000,201303
L67120MH1993PLC074411,19570000000,201203
L67120MH1993PLC074411,10388200000,201103
L31300KA1987PLC013543,46199000,201703
L31300KA1987PLC013543,57249000,201603
L31300KA1987PLC013543,75437000,201503
L31300KA1987PLC013543,67428000,201403
L31300KA1987PLC013543,76913000,201303
L31300KA1987PLC013543,91983000,201203
L31300KA1987PLC013543,99551000,201103
L93000MH1993PLC072467,102442076,201703
L93000MH1993PLC072467,102442076,201603
L93000MH1993PLC072467,102442076,201503
L93000MH1993PLC072467,102442076,201403
L93000MH1993PLC072467,97083359,201303
L93000MH1993PLC072467,97083359,201203
L93000MH1993PLC072467,97083000,201103
U67190MH2007PLC289249,0,201703
U67190MH2007PLC289249,0,201603
U67190MH2007PLC289249,0,201503
U67190MH2007PLC289249,0,201403
U67190MH2007PLC289249,0,201303
U67190MH2007PLC289249,0,201203
U67190MH2007PLC289249,0,201103
L29142TN1988PLC015586,1008240000,201703
L29142TN1988PLC015586,5091050000,201603
L29142TN1988PLC015586,4803844000,201503
L29142TN1988PLC015586,4612660000,201403
L29142TN1988PLC015586,5982823000,201303
L29142TN1988PLC015586,5627215000,201203
L29142TN1988PLC015586,0,201103
U52320GJ2012PLC073076,0,201703
U52320GJ2012PLC073076,0,201603
U52320GJ2012PLC073076,8758561,201503
U52320GJ2012PLC073076,42547159,201403
U52320GJ2012PLC073076,9601000,201303
L72900TG1991PLC013074,0,201703
L72900TG1991PLC013074,0,201603
L72900TG1991PLC013074,2599686,201503
L72900TG1991PLC013074,6715008,201403
L72900TG1991PLC013074,15438570,201303
L72900TG1991PLC013074,14008834,201203
L72900TG1991PLC013074,0,201103
L72300AP1993PLC015804,201531778,201703
L72300AP1993PLC015804,2223150,201603
L72300AP1993PLC015804,0,201503
L72300AP1993PLC015804,655718,201403
L72300AP1993PLC015804,1365932,201303
L72300AP1993PLC015804,2293278,201203
L72300AP1993PLC015804,3241734,201103
L25191RJ1980PLC002077,263548000,201703
L25191RJ1980PLC002077,187569000,201603
L25191RJ1980PLC002077,136046000,201503
L25191RJ1980PLC002077,122303000,201403
L25191RJ1980PLC002077,153754000,201303
