Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,WHITE ORGANIC AGRO ,WHITE ORGANIC AGRO LIMITED,Standalone,,,Non-Transacted,0,,,,Working Of Diamonds And Other Precious And Semi-Precious Stones Including The Working Of Industrial Quality Stones And Synthetic Or Reconstructed Precious Or Semi-Precious Stones,,113,,1987,Listed,,,,9/10 G I D C Industrial Estate,,33,7,391760,113,-294874,-266580,co_secretary@20microns.com,www.20microns.com,,,Standalone,,,Non-Transacted,0,9,573,,Working Of Diamonds And Other Precious And Semi-Precious Stones Including The Working Of Industrial Quality Stones And Synthetic Or Reconstructed Precious Or Semi-Precious Stones,,113,,1990,Listed,,,,"312 A , Kailas Plaza",,67,15,400077,113,022-25011983,,info@wdil.in,www.wdil.in,,,Darshak Rupani,Managing Director,,,,,,,,,,,,,L01100MH1990PLC055860,
,JIYA ECO-PRODUCTS ,JIYA ECO-PRODUCTS LIMITED,Standalone,,,Non-Transacted,0,,,,"Production Of Liquid And Gaseous Fuels, Illuminating Oils, Lubricating Oils Or Greases Or Other Products From Crude Petroleum Or Bituminous Minerals",,113,,1986,Listed,,,,"No.67, Old No.28- A",,88,24,600018,113,09144-42030149    ,09144-24328252  ,investors@tcms.bz,www.tcms.bz,,,Standalone,,,Non-Transacted,0,5,198,,"Production Of Liquid And Gaseous Fuels, Illuminating Oils, Lubricating Oils Or Greases Or Other Products From Crude Petroleum Or Bituminous Minerals",,113,,2011,Listed,,,,"G-6/7 B, Ruturaj Complex",,162,7,364001,113,+91 – 02841-281028,+91 – 02841-281028,cs@jiyaeco.in,www.jiyaeco.com,,,Yogesh Patel,Managing Director,,,,,,,,,,,,,L01111GJ2011PLC068414,
,MANGALAM SEEDS ,MANGALAM SEEDS LIMITED,Standalone,,,Non-Transacted,0,,,,Seed Processing For Propagation,,113,,1993,Listed,,,,"Tower # 5, 3rd To 6th Floors",,132,15,400703,113,022-6792 8000   ,022-6792 8099,co@3i-infotech.com,www.3i-infotech.com,,,Standalone,,,Non-Transacted,0,1,360,,Seed Processing For Propagation,,113,,2007,Listed,,,,"202, Sampada Complex",,23,7,380009,113,91-79 26447302,91-79 26447598,pjshahca@yahoo.co.in ,www.mangalamseeds.com,,,Pravinkumar Patel,Managing Director,,,,,,,,,,,,,L01112GJ2011PLC067128,
,MODERN CONVERTERS ,MODERN CONVERTERS LIMITED,Standalone,,,Non-Transacted,0,,,,Wholesale Of Other Clothing Items N.E.C.,,113,,1987,Listed,,,,Plot No 48-51,,43,12,560100,113,080- 28520203    ,080- 28520576  ,3mindia.investorshelpdesk@mmm.com,www.3m.com,,,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Other Clothing Items N.E.C.,,113,,1946,Listed,,,,56 E Hemanta Basu Sarani ,,109,28,700001,113,033- 32635876,,info@modernconvertors.com,www.modernconvertors.com,,,Soumitra Trivedi,Managing Director,,,,,,,,,,,,,L01132WB1946PLC013314,
,RAJESH SOLVEX ,RAJESH SOLVEX LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Vegetable Oils And Fats Excluding Corn Oil,,113,,2012,Listed,,,,"Block No.2 Sukh Shanti, Plot No.65",,67,15,400069,113,91-022–26242783,91-022–26242783,info@3rdrockmultimedia.com,www.3rdrockmultimedia.com,,,Standalone,,,Non-Transacted,0,1,225,,Manufacture Of Vegetable Oils And Fats Excluding Corn Oil,,113,,1989,Listed,,,,"201/203, Narsi Natha Street",,67,15,400009,113,     ,-- ,rsl7779@yahoo.com,NA,,,Mr.Sampatraj P Jain,CEO,,,,,,,,,,,,,L01211MH1989PLC054734,
,KARNIMATA COLD STORAGE ,KARNIMATA COLD STORAGE LIMITED,Standalone,,,Non-Transacted,0,,,,Warehousing Of Refrigerated (Cold Storage),,113,,,Listed,,,,,,,,,113,,,,,,,Standalone,,,Non-Transacted,0,18,381,,Warehousing Of Refrigerated (Cold Storage),,113,,2011,Listed,,,,"Village - Chekuasole, P. O. – Jogerdanga",,400,28,721121,113,03227-218314,03227-265193,karnimatacoldstorage@gmail.com,www.karnimatacoldstorage.com,,,Pradip Lodha,Managing Director,,,,,,,,,,,,,L01403WB2011PLC162131,
,ZEAL AQUA ,ZEAL AQUA LIMITED,Standalone,,,Non-Transacted,0,,,,Aquaculture,,113,,1993,Listed,,,,"  Tarabai Hall, 97",,67,15,400002,113,022-22842127,022-22819226,52weeksentltt@gmail.com,www.52weeksentertainment.com,,,Standalone,,,Non-Transacted,0,1,360,,Aquaculture,,113,,2009,Listed,,,,"Olpad, G I D C, Plot No.4-5",,32,7,394540,113,02621- 220547,02621-220540,zealaqua@gmail.com,www.zealaqua.com,,,Shantilal Ishwarbhai Patel,Managing Director,,,,,,,,,,,,,L05004GJ2009PLC056270,
,AUTUMN BUILDERS ,AUTUMN BUILDERS LIMITED,Standalone,,,Non-Transacted,0,,,,"Clearing Of Building Sites, Earth Moving: Excavation, Landfill, Levelling And Grading Of Construction Sites, Trench Digging, Rock Removal, Blasting Etc.",,113,,1991,Listed,,,,"6-3-1239/2/ A, 3rd Floor",,3,1,500082,113,91-040-30686161/62 ,91-040-30686163,info@7seasent.com,www.7seasent.com,,,Standalone,,,Non-Transacted,0,6,223,,"Clearing Of Building Sites, Earth Moving: Excavation, Landfill, Levelling And Grading Of Construction Sites, Trench Digging, Rock Removal, Blasting Etc.",,113,,2009,Listed,,,,"29 A, Weston Street",,109,28,700012,113,+91 33 40048979,,autumnbuilders2009@yahoo.in,http://www.autumnbuilders.in/contact/,,,Deepak Kumar Singh,Managing Director,,,,,,,,,,,,,L14299WB2009PLC133130,
,SNOWMAN LOGISTICS ,SNOWMAN LOGISTICS LIMITED,Standalone,,,Non-Transacted,0,,,,Warehousing Of Refrigerated (Cold Storage),,113,,1993,Listed,,,,"5, Cenotaph Road, Second Floor",,88,24,600018,113,044-6602-8000,,contactus@8kmilessoftwareservices.com,www.8kmiles.com,,,Standalone,,,Non-Transacted,0,18,381,,Warehousing Of Refrigerated (Cold Storage),,113,,1993,Listed,,,,"Plot No. M-8, Taloja Industrial Area",,132,15,410206,113,+ 91 80 3993 9500,+ 91 80 3993 9500,investorrelations@snowman.in,www.snowman.in,,,Mr. Sunil Nair,CEO,,,,,,,,,,,,,L15122MH1993PLC285633,
,PROGRESSIVE EXTRACTIONS & EXPORTS ,PROGRESSIVE EXTRACTIONS & EXPORTS LIMITED,Standalone,,,Non-Transacted,0,,,,Manufacture Of Vegetable And Animal Oils And Fats,,113,,1980,Listed,,,,P O Hamirgarh,,83,22,311025,113,91-01482-286102,91-01482-286104,bhilwara@kanoria.org,www.ainfrastructure.com,,,Standalone,,,Non-Transacted,0,1,225,,Manufacture Of Vegetable And Animal Oils And Fats,,113,,1981,Listed,,,,Shri Mohan Parisar,,58,14,462011,113,0755-2558656,,extractions@yahoo.co.in,www.progressivecorp.net,,,Shri Rakesh Mehra,Managing Director,,,,,,,,,,,,,L15141MP1981PLC001759,
