Company_Id,SCompanyName,FCompanyName,GroupCStaus,ParentCompany,FormerlyCalled,Permissions1,UserStatus,Industry,Sector,SubSector,BusinessDesc,Brands,Country,RegionId_FK,IncorpYear,ListingStatus,StockBSE,StockNSE,IPODate,AddressHead,AddressLine2,City,State,Pincode,AddressCountry,Phone,Fax,Email,Website,LinkedIn,google_fetched_website,Contact Name,Designation,Auditor,rgthcr,Profile_Flag,Added_Date,DealUrl,competitorsListed,competitorsUnListed,otherCompareListed,otherCompareUnListed,FYCount,GFYCount,cvid,CIN,Total_Income_equal_OpIncome
,WHITE ORGANIC AGRO ,WHITE ORGANIC AGRO LIMITED,Standalone,,,Non-Transacted,0,9,573,,Working Of Diamonds And Other Precious And Semi-Precious Stones Including The Working Of Industrial Quality Stones And Synthetic Or Reconstructed Precious Or Semi-Precious Stones,,113,,1990,Listed,,,,"312 A , Kailas Plaza",,67,15,400077,113,022-25011983,,info@wdil.in,www.wdil.in,,,Darshak Rupani,Managing Director,,,,,,,,,,,,,L01100MH1990PLC055860,
,JIYA ECO-PRODUCTS ,JIYA ECO-PRODUCTS LIMITED,Standalone,,,Non-Transacted,0,5,198,,"Production Of Liquid And Gaseous Fuels, Illuminating Oils, Lubricating Oils Or Greases Or Other Products From Crude Petroleum Or Bituminous Minerals",,113,,2011,Listed,,,,"G-6/7 B, Ruturaj Complex",,162,7,364001,113,+91 – 02841-281028,+91 – 02841-281028,cs@jiyaeco.in,www.jiyaeco.com,,,Yogesh Patel,Managing Director,,,,,,,,,,,,,L01111GJ2011PLC068414,
,MANGALAM SEEDS ,MANGALAM SEEDS LIMITED,Standalone,,,Non-Transacted,0,1,360,,Seed Processing For Propagation,,113,,2007,Listed,,,,"202, Sampada Complex",,23,7,380009,113,91-79 26447302,91-79 26447598,pjshahca@yahoo.co.in ,www.mangalamseeds.com,,,Pravinkumar Patel,Managing Director,,,,,,,,,,,,,L01112GJ2011PLC067128,
,MODERN CONVERTERS ,MODERN CONVERTERS LIMITED,Standalone,,,Non-Transacted,0,16,392,,Wholesale Of Other Clothing Items N.E.C.,,113,,1946,Listed,,,,56 E Hemanta Basu Sarani ,,109,28,700001,113,033- 32635876,,info@modernconvertors.com,www.modernconvertors.com,,,Soumitra Trivedi,Managing Director,,,,,,,,,,,,,L01132WB1946PLC013314,
,RAJESH SOLVEX ,RAJESH SOLVEX LIMITED,Standalone,,,Non-Transacted,0,1,225,,Manufacture Of Vegetable Oils And Fats Excluding Corn Oil,,113,,1989,Listed,,,,"201/203, Narsi Natha Street",,67,15,400009,113,     ,-- ,rsl7779@yahoo.com,NA,,,Mr.Sampatraj P Jain,CEO,,,,,,,,,,,,,L01211MH1989PLC054734,
,KARNIMATA COLD STORAGE ,KARNIMATA COLD STORAGE LIMITED,Standalone,,,Non-Transacted,0,18,381,,Warehousing Of Refrigerated (Cold Storage),,113,,2011,Listed,,,,"Village - Chekuasole, P. O. – Jogerdanga",,400,28,721121,113,03227-218314,03227-265193,karnimatacoldstorage@gmail.com,www.karnimatacoldstorage.com,,,Pradip Lodha,Managing Director,,,,,,,,,,,,,L01403WB2011PLC162131,
,ZEAL AQUA ,ZEAL AQUA LIMITED,Standalone,,,Non-Transacted,0,1,360,,Aquaculture,,113,,2009,Listed,,,,"Olpad, G I D C, Plot No.4-5",,32,7,394540,113,02621- 220547,02621-220540,zealaqua@gmail.com,www.zealaqua.com,,,Shantilal Ishwarbhai Patel,Managing Director,,,,,,,,,,,,,L05004GJ2009PLC056270,
,AUTUMN BUILDERS ,AUTUMN BUILDERS LIMITED,Standalone,,,Non-Transacted,0,6,223,,"Clearing Of Building Sites, Earth Moving: Excavation, Landfill, Levelling And Grading Of Construction Sites, Trench Digging, Rock Removal, Blasting Etc.",,113,,2009,Listed,,,,"29 A, Weston Street",,109,28,700012,113,+91 33 40048979,,autumnbuilders2009@yahoo.in,http://www.autumnbuilders.in/contact/,,,Deepak Kumar Singh,Managing Director,,,,,,,,,,,,,L14299WB2009PLC133130,
,SNOWMAN LOGISTICS ,SNOWMAN LOGISTICS LIMITED,Standalone,,,Non-Transacted,0,18,381,,Warehousing Of Refrigerated (Cold Storage),,113,,1993,Listed,,,,"Plot No. M-8, Taloja Industrial Area",,132,15,410206,113,+ 91 80 3993 9500,+ 91 80 3993 9500,investorrelations@snowman.in,www.snowman.in,,,Mr. Sunil Nair,CEO,,,,,,,,,,,,,L15122MH1993PLC285633,
,PROGRESSIVE EXTRACTIONS & EXPORTS ,PROGRESSIVE EXTRACTIONS & EXPORTS LIMITED,Standalone,,,Non-Transacted,0,1,225,,Manufacture Of Vegetable And Animal Oils And Fats,,113,,1981,Listed,,,,Shri Mohan Parisar,,58,14,462011,113,0755-2558656,,extractions@yahoo.co.in,www.progressivecorp.net,,,Shri Rakesh Mehra,Managing Director,,,,,,,,,,,,,L15141MP1981PLC001759,
,ARUNA HOTELS ,ARUNA HOTELS LIMITED,Standalone,,,Non-Transacted,0,11,36,,"Hotels And Motels, Inns, Resorts Providing Short Term Lodging Facilities; Includes Accommodation In House Boats",,113,,1960,Listed,,,,Aruna Centre,,88,24,600034,113,044- 28259090    ,044- 28282608  ,directorsaruna@gmail.com,www.arunahotelslimited.com,,,Vaithyalingam Anbalagan,Managing Director,,,,,,,,,,,,,L15421TN1960PLC004255,
,SHREE HANUMAN SUGAR & INDUSTRIES ,SHREE HANUMAN SUGAR & INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,1,467,,Manufacture Of Sugar,,113,,1932,Listed,,,,Chandra Kunj ,,109,28,700071,113,+91-033-22821169-1170,+91-033-22821187/1188,fpo@hanumansugar.com,www.hanumansugar.com,,,Bimal Kumar Nopany,Managing Director,,,,,,,,,,,,,L15432WB1932PLC007276,
,JAMES WARREN TEA ,JAMES WARREN TEA LIMITED,Standalone,,,Non-Transacted,0,1,360,,Growing Of Tea,,113,,2009,Listed,,,,Dhoedaam Tea Estate,,418,3,786150,113,91 – 03759 247922,91 – 03759 247922,investors@jameswarrentea.com/ corporate@jameswarrentea.com;,www.jameswarrentea.com,,,MR. ANIL KUMAR RUIA,Chairman,,,,,,,,,,,,,L15491AS2009PLC009345,
,DHUNSERI TEA & INDUSTRIES ,DHUNSERI TEA & INDUSTRIES LIMITED,Standalone,,,Non-Transacted,0,1,360,,Growing Of Tea,,113,,1997,Listed,,,,Dhunseri House 4 A,,109,28,700020,113,91-33-2280 1950,91-33 –2287 8350 / 9274,mail@dhunseritea.com,www.dhunseritea.com,,,C K Dhanuka,Managing Director,,,,,,,,,,,,,L15500WB1997PLC085661,
,MANPASAND BEVERAGES ,MANPASAND BEVERAGES LIMITED,Standalone,,,Non-Transacted,0,8,49,,"Manufacture Of Fruit Or Vegetable Juices And Their Concentrates, Squashes And Powder",,113,,2010,Listed,,,,"E – 62, Manjusar G I D C",,33,7,391775,113,02667- 264-663/ 264 733,02667-264-660,info@manpasand.co.in,www.manpasand.co.in,,,Dhirendra Singh,Managing Director,,,,,,,,,,,,,L15549GJ2010PLC063283,
