industry,sector,CIN
15,314,L99999GJ1987PLC009768
2,484,L74210TN1986PLC012791
12,6,L67120MH1993PLC074411
14,615,L31300KA1987PLC013543
27,571,U74900MH2012PLC230802
16,315,
1,360,L93000MH1993PLC072467
12,6,L72900TG1991PLC013074
12,6,L72300AP1993PLC015804
13,390,L25191RJ1980PLC002077
2,237,L65990MH1981PLC023716
6,484,L74999HR2002PLC034805
14,615,L67120GJ1995PLC024449
13,444,L25203MH1994PLC206053
21,546,L99999MH1977PLC019658
2,237,L65990MH1991PLC064631
6,216,L29200MH1992PLC066083
21,546,L17121TG2013PLC086564
13,393,U27106WB1996PLC076866
15,314,L85110KA1989PLC013595
2,237,L63090WB1982PLC035019
13,393,L74899DL1990PLC019599
2,237,L67120DL1983PLC015266
2,237,L65910GJ1993PLC019057
10,30,L99999MH1990PLC056538
2,237,L65993DL1974PLC229893
10,30,L37060MH1984PLC055433
13,183,L24110GJ1984PLC007301
21,546,L17110GJ1988PLC010504
21,546,L51909MH1986PLC221031
16,205,L15142HR1987PLC049459
2,237,L67120HR1997PLC033766
14,354,L67120MH1981PLC025111
16,205,L51100GJ1984PLC024704
10,30,L01122DL1984PLC018307
12,6,U30007MH1983PLC030982
5,198,L01119TN1986PLC013473
13,506,L32202KA1949PLC032923
10,30,L24239MH1944PLC007330
13,37,L29130MH1961PLC012028
13,393,L27100MH1980PLC022118
18,86,L60231AS1972PLC001393
13,639,L29294PN1992PLC070144
18,453,L61200GJ1985PLC007730
2,237,L51909WB2001PLC093941
16,205,L45400WB1983PLC036067
2,74,L51909DL1982PLC241785
2,237,L65990MH1994PLC083603
2,237,L67120DL1984PLC018748
21,546,L51491PN1993PLC073706
2,237,U65910RJ1995PTC009648
2,74,L45204DL1984PLC018802
2,38,L65993TN1993PLC024861
10,30,L52599TN1992PLC022340
13,444,L51909DL1983PLC015585
12,6,L67190MH1993PLC113638
27,571,U55101DL2005PLC140406
13,390,L26940MH1936PLC002515
12,6,L30006TN1995PLC031736
13,639,L30007KL1986PLC004485
12,6,L74140PN1986PLC041033
12,6,L99999MH1991PLC062885
12,6,L51909WB1982PLC035460
16,205,L74950MH1991PLC068270
16,205,L51122GJ1988PLC010549
13,506,L74899DL1988PLC095092
14,354,L29299DL1993PLC201811
16,205,L19111UP1990PLC012053
12,6,L72200GJ1994PLC022781
22,387,U63040GJ2007PTC051318
2,237,L65993DL1980PLC010636
2,237,U65910GJ1975PTC002787
13,639,L72200MH1982PLC175476
21,546,L99999GJ1994PLC022000
21,546,L01113WB1990PLC050020
2,38,L65993WB1985PLC082197
27,571,L99999MH1985PLC113634
12,6,L72900KA2001PLC028944
6,216,L13100MH1960PLC011601
13,444,L26914MH1987PLC042283
6,216,L74899DL1995PLC064347
2,38,L65944MH1992PLC068879
12,6,U99999MH1990PLC057722
16,205,L51100GJ1993PLC019067
18,427,L63090GJ1998PLC034182
5,439,L40100GJ1996PLC030533
5,439,U40300GJ2013PLC077803
2,237,U67120WB1979PLC032193
13,183,L24110GJ1957PLC000866
2,237,L67120WB1978PLC031438
16,205,L51109WB1992PLC055082
6,216,L29210GJ1992PLC017845
20,382,L32209KA1988PLC009313
12,6,U72300MH1998PTC114790
2,38,L67120MP1994PLC008511
21,546,L51109UP1980PLC022154
10,30,L24230GJ1991PLC014894
7,174,L15400GJ1990PLC014265
2,38,L74899DL1993PLC056347
6,216,L51503DL1985PLC020195
20,542,U52190WB2011PLC158320
13,393,L65921WB1979PLC032200
13,393,L28110OR2001PLC017271
21,546,U17118MH1987PLC044557
13,183,L15140GJ1985PLC007845
13,625,L24231GJ1992PLC018572
10,30,L24230WB1982PLC034492
2,237,L51909GJ1995PLC024300
21,546,L17115PB1979PLC003910
13,183,L24100JH1976PLC001255
20,542,L18101MH2007PLC233901
2,74,L65993GJ1995PLC064810
14,615,L17199GJ1956PLC001107
13,393,L27100GJ1992PLC017196
13,183,L72901GJ1993PLC020727
13,393,L27109TG1990PLC012099 
13,94,L17110GJ1985PLC007799
21,546,L18100AP1991PLC012337
14,445,U92490MH2010PLC199925
2,38,L52520MP1986PLC003405
13,506,L31909KA1974PLC020010
7,485,L85110KA1948PLC000545
13,506,L70100MH1951PLC008647
10,167,L85110DL1984PLC018486
13,506,L33111TN1990PLC018678
21,384,L45309GJ1988PLC011139
13,506,L31401HR2011PLC042015
13,581,L51494GJ1979PLC006698
16,315,L23200GJ1985PLC008013
2,237,L65999WB1994PLC065726
13,183,U24200MH1989PLC051018
10,89,L30007KA1994PLC015445
11,202,L99999MH1987PLC042891
1,360,L01119AP1994PLC063664
12,8,L33111TN1984PLC010675
2,237,L51226WB1985PLC039055
16,519,L36993WB1995PLC069510
13,506,L74899DL1985PLC022505
10,30,L74899HR1994PLC038300
6,216,U99999DL1982PLC014161
21,384,L28999MP1996PLC010377
18,86,L63090GJ1956PLC001032
2,237,L65990MH1981PLC024860
16,315,L65993DL1983PLC016354
12,8,L57220MH1986PLC039342
13,393,L28991WB1971PLC028090
18,622,L99999MH1995PLC084618
12,28,L32200MH1986PLC040652
21,384,L17297HR1998PLC034043
6,216,U45200PB2005PLC028466
13,454,L21090WB1984PLC037968
12,8,L72300TN1990PLC019024
2,237,L67120DL1991PLC045261
1,470,L05001TN1985PLC011918
17,527,U74999MH1991PLC062821
1,360,L01110MH1993PLC073268
1,102,L29211CH1992PLC012321
1,225,L15143KA1973PLC002426
1,452,L15142TG1986PLC006957
12,8,L72200TG1996PLC022814
13,506,U25200GJ1996PLC028679
6,216,L45101DL1979PLC009654
21,384,L99999GJ1914PLC000042
13,393,L27109GJ1972PLC011500
13,506,U31401TZ1963PLC000514
21,384,L51909WB1917PLC002767
13,393,L29259GJ1991PLC015182
13,312,U03110MP1978PLC001447
17,527,L24210MH1987PLC044362
12,28,L72200TG1995PLC020569 
13,393,L60300MH1980PLC107927
13,454,U01132WB1984PLC037219
2,237,L65999WB1974PLC029734
2,237,L52110DL1985PLC020650
13,454,L74950DL1969PLC005126
10,30,L24230MH1979PLC022059
1,225,L15494RJ1992PLC016617
2,237,L55101WB1971PLC028155
2,237,L45201MH1982PLC100777
2,237,L74140MH1986PLC041941
2,80,L67120MH1994PLC076637
27,210,L27104MH1985PLC035659
11,202,L45201GJ1992PLC018294
2,237,L74899DL1993PLC055524
21,384,L17117RJ1994PLC008916
16,315,L67120WB1982PLC034852
13,444,L20211GJ1989PLC012415
13,37,L29220MH1989PLC052305
17,527,U99999MH1980PLC022534
